user_id,category_id,amount,currency_code,transaction_date,transaction_type,description
1,1,4.97,USD,2019-01-01,Normal,"fraud_Rippin, Kub and Mann"
2,2,107.23,USD,2019-01-01,Normal,"fraud_Heller, Gutmann and Zieme"
3,3,220.11,USD,2019-01-01,Normal,fraud_Lind-Buckridge
4,4,45.0,USD,2019-01-01,Normal,"fraud_Kutch, Hermiston and Farrell"
5,5,41.96,USD,2019-01-01,Normal,fraud_Keeling-Crist
6,4,94.63,USD,2019-01-01,Normal,"fraud_Stroman, Hudson and Erdman"
7,6,44.54,USD,2019-01-01,Normal,fraud_Rowe-Vandervort
8,4,71.65,USD,2019-01-01,Normal,fraud_Corwin-Collins
9,5,4.27,USD,2019-01-01,Normal,fraud_Herzog Ltd
10,2,198.39,USD,2019-01-01,Normal,"fraud_Schoen, Kuphal and Nitzsche"
11,2,24.74,USD,2019-01-01,Normal,fraud_Rutherford-Mertz
12,7,7.77,USD,2019-01-01,Normal,fraud_Kerluke-Abshire
13,2,71.22,USD,2019-01-01,Normal,fraud_Lockman Ltd
14,2,96.29,USD,2019-01-01,Normal,fraud_Kiehn Inc
15,8,7.77,USD,2019-01-01,Normal,fraud_Beier-Hyatt
16,7,3.26,USD,2019-01-01,Normal,fraud_Schmidt and Sons
17,1,327.0,USD,2019-01-01,Normal,fraud_Lebsack and Sons
18,8,341.67,USD,2019-01-01,Normal,fraud_Mayert Group
19,9,63.07,USD,2019-01-01,Normal,"fraud_Konopelski, Schneider and Hartmann"
20,2,44.71,USD,2019-01-01,Normal,"fraud_Schultz, Simonis and Little"
21,2,57.34,USD,2019-01-01,Normal,fraud_Bauch-Raynor
22,4,50.79,USD,2019-01-01,Normal,fraud_Harris Inc
23,6,46.28,USD,2019-01-01,Normal,fraud_Kling-Grant
24,8,9.55,USD,2019-01-01,Normal,fraud_Pacocha-Bauch
25,8,22.95,USD,2019-01-01,Normal,fraud_Lesch Ltd
26,1,2.55,USD,2019-01-01,Normal,fraud_Kunde-Sanford
27,2,64.09,USD,2019-01-01,Normal,fraud_Deckow-O'Conner
28,5,6.85,USD,2019-01-01,Normal,fraud_Bruen-Yost
29,2,90.22,USD,2019-01-01,Normal,fraud_Kunze Inc
30,8,4.02,USD,2019-01-01,Normal,"fraud_Nitzsche, Kessler and Wolff"
31,7,3.66,USD,2019-01-01,Normal,"fraud_Kihn, Abernathy and Douglas"
32,2,82.8,USD,2019-01-01,Normal,"fraud_Heller, Gutmann and Zieme"
33,8,66.21,USD,2019-01-01,Normal,fraud_Torphy-Goyette
34,5,25.58,USD,2019-01-01,Normal,fraud_Balistreri-Nader
35,8,9.03,USD,2019-01-01,Normal,"fraud_Bahringer, Schoen and Corkery"
36,2,99.0,USD,2019-01-01,Normal,fraud_Hudson-Ratke
37,2,207.36,USD,2019-01-01,Normal,fraud_Heidenreich PLC
38,5,181.35,USD,2019-01-01,Normal,fraud_Halvorson Group
39,4,82.22,USD,2019-01-01,Normal,fraud_Harber Inc
40,2,221.81,USD,2019-01-01,Normal,"fraud_Mosciski, Gislason and Mertz"
41,4,53.6,USD,2019-01-01,Normal,"fraud_Christiansen, Goyette and Schamberger"
42,5,54.02,USD,2019-01-01,Normal,fraud_Howe Ltd
43,4,102.13,USD,2019-01-01,Normal,fraud_Ledner-Pfannerstill
7,2,212.75,USD,2019-01-01,Normal,fraud_Lockman Ltd
44,2,130.4,USD,2019-01-01,Normal,fraud_Koepp-Witting
45,2,91.16,USD,2019-01-01,Normal,fraud_Doyle Ltd
46,4,55.78,USD,2019-01-01,Normal,"fraud_Schaefer, Maggio and Daugherty"
47,2,83.07,USD,2019-01-01,Normal,fraud_Stracke-Lemke
48,7,4.38,USD,2019-01-01,Normal,"fraud_Mosciski, Ziemann and Farrell"
49,2,130.89,USD,2019-01-01,Normal,fraud_Cartwright-Harris
50,2,103.0,USD,2019-01-01,Normal,fraud_Pacocha-O'Reilly
51,6,50.82,USD,2019-01-01,Normal,fraud_Pfeffer LLC
52,4,60.77,USD,2019-01-01,Normal,fraud_Huels-Hahn
53,9,122.86,USD,2019-01-01,Normal,fraud_Volkman PLC
54,2,212.45,USD,2019-01-01,Normal,fraud_Kiehn-Emmerich
55,5,7.33,USD,2019-01-01,Normal,fraud_Kemmer-Buckridge
56,4,70.53,USD,2019-01-01,Normal,fraud_Cummerata-Jones
57,2,58.26,USD,2019-01-01,Normal,"fraud_Goldner, Kovacek and Abbott"
58,6,50.45,USD,2019-01-01,Normal,fraud_Spinka-Welch
43,1,177.57,USD,2019-01-01,Normal,fraud_Huel-Langworth
59,8,8.57,USD,2019-01-01,Normal,fraud_Macejkovic-Lesch
60,4,56.66,USD,2019-01-01,Normal,fraud_Corwin-Collins
61,6,75.34,USD,2019-01-01,Normal,fraud_Morar Inc
62,4,62.54,USD,2019-01-01,Normal,"fraud_Eichmann, Bogan and Rodriguez"
63,2,92.84,USD,2019-01-01,Normal,"fraud_Huel, Hammes and Witting"
64,1,2.76,USD,2019-01-01,Normal,"fraud_Ferry, Lynch and Kautzer"
65,7,101.35,USD,2019-01-01,Normal,fraud_Heathcote LLC
66,1,303.47,USD,2019-01-01,Normal,fraud_Huel-Langworth
67,7,83.52,USD,2019-01-01,Normal,"fraud_Little, Gutmann and Lynch"
68,8,9.97,USD,2019-01-01,Normal,fraud_Torphy-Goyette
69,6,16.16,USD,2019-01-01,Normal,fraud_Jaskolski-Dibbert
70,2,59.56,USD,2019-01-01,Normal,fraud_Hackett-Lueilwitz
71,4,57.23,USD,2019-01-01,Normal,fraud_Cummings LLC
72,8,317.14,USD,2019-01-01,Normal,"fraud_Swaniawski, Lowe and Robel"
73,2,127.88,USD,2019-01-01,Normal,"fraud_Osinski, Ledner and Leuschke"
74,7,113.4,USD,2019-01-01,Normal,"fraud_Reichert, Huels and Hoppe"
75,7,94.53,USD,2019-01-01,Normal,fraud_Ankunding LLC
76,8,1.82,USD,2019-01-01,Normal,fraud_Pfeffer and Sons
77,4,75.77,USD,2019-01-01,Normal,"fraud_Greenholt, Jacobi and Gleason"
78,2,108.59,USD,2019-01-01,Normal,fraud_Kunze Inc
79,4,48.68,USD,2019-01-01,Normal,fraud_Harris Inc
80,4,72.35,USD,2019-01-01,Normal,"fraud_Connelly, Reichert and Fritsch"
81,5,218.71,USD,2019-01-01,Normal,fraud_Howe Ltd
82,4,52.59,USD,2019-01-01,Normal,fraud_Torp-Labadie
83,2,89.11,USD,2019-01-01,Normal,fraud_Wolf Inc
84,6,89.35,USD,2019-01-01,Normal,fraud_VonRueden Group
85,2,50.68,USD,2019-01-01,Normal,fraud_Vandervort-Funk
79,4,64.47,USD,2019-01-01,Normal,fraud_Bernhard Inc
86,6,63.58,USD,2019-01-01,Normal,"fraud_Morissette, Weber and Wiegand"
87,4,81.85,USD,2019-01-01,Normal,fraud_Brekke and Sons
88,4,59.7,USD,2019-01-01,Normal,fraud_Mraz-Herzog
89,4,90.54,USD,2019-01-01,Normal,fraud_Ledner-Pfannerstill
90,2,50.57,USD,2019-01-01,Normal,fraud_Padberg-Welch
23,1,3.79,USD,2019-01-01,Normal,"fraud_Rippin, Kub and Mann"
91,6,54.54,USD,2019-01-01,Normal,fraud_Kutch-Hegmann
92,1,3.35,USD,2019-01-01,Normal,fraud_Corwin-Gorczany
93,4,50.61,USD,2019-01-01,Normal,fraud_Huels-Nolan
94,6,50.74,USD,2019-01-01,Normal,fraud_Jaskolski-Dibbert
95,2,186.73,USD,2019-01-01,Normal,fraud_DuBuque LLC
96,6,39.95,USD,2019-01-01,Normal,fraud_Kutch-Hegmann
95,4,55.18,USD,2019-01-01,Normal,fraud_Brekke and Sons
97,2,92.99,USD,2019-01-01,Normal,"fraud_Mosciski, Gislason and Mertz"
98,5,43.02,USD,2019-01-01,Normal,fraud_Schmeler Inc
