user_id,goal_name,target_amount,current_savings,deadline
877,her century,2107.32,773.81,2027-01-18
878,across inside hot help,7361.98,2854.0,2026-11-21
878,employee fight,5816.49,149.05,2026-09-20
878,cultural moment front stock,6735.55,5517.28,2027-07-10
879,responsibility lay,4310.73,228.98,2026-09-05
879,production report customer lead,6126.15,5028.07,2027-02-12
880,full imagine play card,1391.55,764.13,2027-03-06
880,form enjoy,1772.19,1324.38,2027-03-07
881,magazine its,8435.76,8204.78,2026-06-24
881,group stop back,2913.75,829.31,2027-01-17
881,different everybody,5419.88,516.89,2027-05-09
882,gun modern fast,1482.37,1027.25,2027-04-24
882,people blood,5362.98,3326.47,2027-02-28
882,street pretty,2251.26,1696.3,2027-03-14
883,someone hand tough inside,5111.61,4180.16,2027-06-15
883,purpose summer energy,1561.59,1391.34,2026-07-14
884,reason series be,5521.71,2154.13,2026-06-07
885,summer home treatment six,2310.8,1179.63,2026-10-09
886,listen approach,6777.26,2259.82,2027-09-25
886,if sometimes standard,9588.78,74.44,2026-06-15
887,quite attention heavy,7335.34,6216.24,2027-07-09
887,create between democratic,6539.35,5817.4,2027-03-22
887,health strong visit,1517.55,34.28,2027-10-03
888,society bag,4225.39,2066.79,2027-03-20
888,teacher market much hospital,3443.95,351.82,2027-03-12
889,walk opportunity,4975.76,1997.14,2027-12-29
889,national else fire wrong,6013.18,311.05,2027-09-16
890,everybody would,8887.63,5099.81,2026-07-29
891,you his professor unit,8500.96,299.7,2026-12-31
891,follow agent,8975.62,2244.8,2027-12-15
892,according table cut paper,2908.84,1461.86,2027-09-17
892,leave kid,5938.66,1150.73,2027-10-23
893,purpose question left everything,9371.61,2148.69,2027-11-19
893,water former,6705.8,6073.1,2026-09-23
894,particular skill,5205.09,1259.19,2026-10-19
894,visit arrive ready choose,8634.32,6028.36,2026-07-23
895,treatment west arrive,3755.2,1698.12,2027-01-14
896,your agree throughout meeting,7279.38,3193.78,2027-09-28
897,key model wonder throw,6366.09,1958.08,2026-06-21
897,turn economic whatever,6712.2,5350.93,2027-06-11
897,admit address,3519.36,1405.12,2026-09-11
898,special special,8701.08,3819.94,2027-01-13
898,thing return,9585.67,4180.76,2027-08-06
899,month about education whose,5234.78,4807.4,2027-06-17
899,smile quickly his drug,2473.09,1504.29,2026-07-13
899,out begin recently,2236.35,915.62,2027-01-31
900,common follow few give,1683.34,1477.0,2027-12-18
900,need mention success call,3307.23,1132.9,2027-06-06
901,become wear,8660.84,3280.89,2026-10-12
901,can pick car explain,5860.27,3289.09,2027-12-13
901,occur before meeting,1645.3,1254.25,2027-12-10
902,ever ago reason,7514.47,6457.14,2026-07-19
903,democratic across blue,5739.96,271.21,2027-07-26
904,final provide,3120.25,2292.79,2026-07-04
904,describe those state,8886.66,5759.58,2027-04-22
905,crime billion,9554.42,9051.53,2026-06-18
905,executive live the baby,1296.79,66.13,2027-09-24
905,treatment dog Congress,4171.05,834.17,2027-07-08
906,fine rate already day,4222.35,1996.7,2026-08-18
907,tough turn interest wide,9889.67,7066.65,2026-10-20
907,today current task,5062.08,3853.86,2027-03-13
907,watch sort too size,5577.9,4636.3,2027-04-27
908,behind free,1330.83,472.42,2027-06-22
908,push production,9257.68,1313.48,2027-10-28
909,about return certainly window,7927.78,7818.51,2026-08-14
909,sometimes should,3168.91,1448.52,2026-10-13
909,step sure,4629.82,154.62,2026-12-02
910,often least,7183.92,1172.06,2026-07-09
911,various reality door,8286.99,4802.39,2027-02-09
911,traditional institution if next,9471.02,7009.03,2027-02-16
911,reflect marriage,4448.41,2271.79,2027-10-16
912,upon computer crime,4548.47,989.54,2026-10-21
913,fact necessary,2445.57,1290.94,2027-10-17
913,get teach common everyone,8072.67,6802.42,2027-03-30
913,attention weight,3470.53,387.48,2027-11-05
914,some back,2196.07,636.14,2027-12-17
914,way somebody stock fine,4234.98,42.81,2027-07-25
915,will paper benefit here,1444.89,423.34,2026-12-15
915,wide shake decide financial,6556.25,879.06,2027-03-07
916,civil discover Republican,2965.99,2734.04,2026-10-16
917,population effort enjoy only,3076.97,362.49,2026-09-06
917,check reason table nature,6224.74,64.26,2026-11-30
917,prove million majority,1974.54,1777.54,2027-07-28
918,remember look,5247.09,2538.66,2027-09-19
918,option over list manager,7972.47,6627.67,2026-08-05
919,stand wind,8642.32,6797.57,2026-12-14
919,investment sing those,8165.92,7326.73,2026-11-28
919,start effect decade,8509.55,5593.35,2027-01-01
920,move commercial,8672.16,7065.65,2027-01-02
920,new such compare home,3873.09,3619.19,2026-06-04
920,fund rich,6050.37,1991.9,2027-05-26
921,billion hot former each,6205.14,263.67,2027-05-05
921,level dog,1383.32,1240.26,2027-08-05
921,everyone trip may bag,1009.3,424.28,2026-07-29
922,all treatment,2597.1,1988.99,2027-10-14
922,perhaps economy perhaps top,5504.59,2303.23,2027-03-22
922,alone thing compare feeling,2752.83,447.11,2026-08-14
923,myself particular,1575.99,640.56,2026-12-09
923,finally source figure per,1789.13,1522.29,2027-08-08
923,between account real,1712.57,1686.57,2027-10-09
924,yeah network two before,5252.29,1779.13,2026-12-24
924,program near argue,6948.72,3174.18,2027-04-23
925,daughter commercial involve,5085.27,3045.64,2027-11-21
925,provide discussion father,6967.73,4428.71,2026-12-15
925,wall per drug,2742.98,372.21,2027-06-13
926,Democrat analysis agree,9809.59,7725.48,2027-02-02
926,certainly office still,6957.92,4358.33,2027-12-23
927,speech defense,3755.75,1515.38,2026-09-14
927,Republican opportunity according,5357.15,3455.29,2027-01-07
928,weight store young either,9572.18,2112.93,2026-07-14
928,they personal training,8288.5,6836.21,2027-12-01
929,hand family participant,9708.36,4903.21,2027-01-19
929,quickly position five such,5737.34,5647.92,2027-10-28
929,far yes people,3574.61,1433.27,2027-09-30
930,toward treat marriage help,3707.49,1415.93,2026-11-08
930,because nice gas situation,7175.38,3509.48,2027-05-27
930,black very work,8300.78,304.98,2027-08-14
931,response ready water,5784.52,3652.48,2026-12-20
932,while soon even production,9586.98,7701.35,2027-03-19
932,production watch,8478.95,6559.4,2027-08-30
932,person public Republican present,7914.74,4562.39,2027-02-01
933,tough cold enter leader,6776.93,3276.25,2027-04-12
933,voice none minute shoulder,9156.85,2096.59,2027-07-20
933,keep already,3736.9,1013.48,2027-08-19
934,best American,4498.64,1743.14,2026-08-09
935,third sit production,3659.6,1642.07,2027-04-15
935,leave follow,2359.8,681.5,2026-11-16
935,general social girl,5626.88,1392.76,2027-06-30
936,process take itself,6736.72,474.29,2027-05-03
936,those good often glass,3348.85,3069.67,2027-12-24
937,center these,6507.9,1510.16,2026-06-04
937,sit well others,2651.34,2006.44,2027-09-19
938,eight interesting together community,5385.74,2973.1,2027-08-08
939,break though site,7300.56,4575.44,2026-10-06
939,set why fly,5069.95,1394.06,2027-09-07
940,never region onto until,3405.97,14.44,2027-11-21
940,work former,3436.59,1408.51,2027-12-29
940,read involve table,9479.82,2971.83,2027-06-04
941,art financial system,4773.3,1978.33,2027-12-02
941,operation someone major,8764.34,239.05,2027-07-28
941,present above range,1326.65,827.3,2026-07-16
942,skill responsibility television author,9484.58,5187.18,2026-06-08
942,population else particular,2582.31,2275.44,2026-07-18
943,expect reveal dark,3929.84,3522.15,2026-09-13
943,late able night,1725.19,1563.95,2027-08-24
943,here affect,7372.16,739.4,2026-07-08
944,arm choice,1608.68,1525.07,2026-08-01
945,threat start explain trouble,5335.07,2007.74,2027-03-30
946,wife body expert above,6249.59,3806.92,2026-07-03
947,who view family season,7785.78,5719.02,2027-01-01
947,ok customer key,6551.3,5674.69,2027-10-01
948,by wonder management,8066.65,2727.38,2027-10-03
948,data character customer soldier,5292.31,1512.55,2027-11-24
948,stage outside,3932.62,916.22,2027-12-27
949,nation animal their prove,8020.89,3350.6,2027-06-07
949,positive collection new,2111.27,1774.23,2027-09-03
950,throughout cost course already,4210.35,4185.14,2027-01-02
950,industry network address even,7803.86,2353.89,2026-10-22
951,exactly across,5537.03,1628.67,2026-08-19
952,camera wear,2073.94,718.94,2027-10-20
953,something around argue,8822.02,4971.14,2027-04-06
