user_id,goal_name,target_amount,current_savings,deadline
1,Room set large relate,3932.02,2973.13,2026-11-04
2,Value pay,2682.71,840.84,2026-06-04
3,Black hair eight,1407.0,191.37,2026-06-04
4,He see,5264.98,5190.49,2027-03-08
5,Per common bit near,1628.19,426.78,2027-01-30
6,Until ok,7908.97,4562.01,2026-06-07
7,Oil still,3133.56,1766.05,2026-12-29
8,Treatment leader result,8531.11,5055.13,2026-08-15
9,Whether seven fine,7978.71,7363.66,2027-01-16
10,Direction nothing share,4854.4,4334.54,2027-02-27
11,Meeting such enjoy,8566.54,7091.71,2026-07-02
12,Practice between wind,6860.78,5459.08,2026-05-01
13,Character end position,7741.16,1927.53,2026-05-31
14,Hotel threat sister,2746.39,2744.4,2026-05-05
15,Enjoy special media,3786.35,3410.04,2026-12-03
16,Why purpose,5092.9,3003.11,2026-05-07
17,Very fish,3408.5,2384.03,2026-10-10
18,Election fear marriage,4119.87,4044.75,2026-05-06
19,Film,8921.29,1675.31,2027-01-30
20,Beyond compare clear,8037.81,6484.1,2026-05-22
21,From these stand,3964.19,2495.55,2026-09-03
22,Lawyer town,7832.47,2125.12,2027-01-12
23,Behavior energy discover,9588.35,3025.95,2026-05-02
24,Determine fund matter national,7194.8,2544.29,2026-12-19
25,History among eat,7661.1,3935.46,2026-09-10
26,Bit set mouth money,6181.8,1255.65,2027-01-13
27,Number key,7548.25,984.73,2026-04-05
28,Down man new,5861.86,2448.65,2026-04-01
29,These add,4969.64,1027.63,2026-12-23
30,Two perform debate,6973.64,5596.51,2026-09-23
31,Still bit quality,1636.28,978.54,2027-01-27
32,Run city,3707.21,1816.17,2026-11-14
33,Price,1389.84,671.43,2027-03-23
34,Open surface,1013.38,153.46,2026-11-09
35,Knowledge feeling serious beyond,5440.05,5147.78,2027-03-28
36,Option reveal,9015.08,6825.89,2026-08-03
37,Rather good child,3875.85,1291.73,2027-03-23
38,Boy beyond,9035.54,5386.93,2026-05-23
39,Great agreement push,9964.38,7544.64,2026-09-04
40,Want outside,5128.55,1907.52,2027-01-27
41,Economic federal war,1141.28,596.89,2026-05-14
42,Forward next trade,5281.35,3063.19,2026-11-12
43,Perform charge,5503.97,4124.51,2027-02-03
44,Its site,5694.09,342.6,2026-12-13
45,Pretty notice exist,4742.19,2961.99,2026-11-21
46,Series important,7231.02,2780.69,2027-01-05
47,Strategy management safe,3135.09,2867.12,2026-08-02
48,Young floor mouth,1763.48,913.86,2026-06-30
49,Remember position human hand,5828.64,382.66,2026-05-06
50,Those her,3816.52,2980.05,2026-04-23
51,Exactly,4659.8,1573.14,2027-01-06
52,Pull course,3813.41,2756.67,2027-02-26
53,Recognize support identify,3481.03,100.61,2026-11-27
54,Author dream,6119.07,146.9,2027-01-01
55,Paper year before,5822.96,2069.57,2026-09-22
56,South bar,5508.97,5318.87,2026-07-31
57,Fear throughout,5352.49,2152.61,2026-08-12
58,Hand always hair result,5648.44,3408.45,2026-04-02
59,Success protect another,1326.43,933.74,2026-11-30
60,Around together up,6128.1,4855.48,2026-05-10
61,Spring hope church,9104.52,6374.02,2026-05-30
62,Understand offer author,5627.44,2939.35,2026-09-16
63,Actually they past half,5555.78,1929.02,2026-12-10
64,Threat,9226.77,2987.55,2026-05-22
65,Democrat finally,9651.38,6434.7,2027-02-23
66,Source management,1471.6,458.65,2026-09-14
67,Easy such,2871.27,2405.01,2026-07-25
68,Week skin,7680.68,3291.96,2027-02-10
69,Knowledge require,2246.89,534.45,2027-01-13
70,Despite reason,4994.08,2423.96,2026-05-10
71,Sell,9388.14,596.84,2026-12-27
72,Window because,6109.92,4008.73,2026-08-16
73,We actually pay suggest,1740.2,181.99,2026-05-27
74,Development site,3854.09,328.41,2026-09-28
75,Bed recently,7151.66,2370.19,2026-05-23
76,When particular,2073.73,1972.29,2026-12-05
77,Thing cover,4701.34,4698.68,2026-06-16
78,Make agree scientist,1442.55,745.34,2026-05-17
79,Treat party quite,6989.73,6831.06,2026-08-23
80,Ability election,5074.91,3018.97,2026-12-23
81,Alone focus like,2105.49,1123.02,2026-05-31
82,At around politics partner,1231.37,988.01,2026-05-03
83,Wind base question,5004.49,2588.82,2027-03-01
84,Central policy,9601.31,8689.39,2026-12-24
85,Minute individual,8801.56,8320.08,2026-07-18
86,Often down just interview,3183.96,1513.8,2027-03-22
87,Whose plan,9459.19,2060.99,2026-12-22
88,Office knowledge north,4353.02,3128.29,2026-07-25
89,Tell office local,1438.1,1333.89,2027-02-21
90,World rate,3904.88,481.15,2026-05-02
91,New wide beat,6851.21,3425.09,2026-04-06
92,Mr east,7639.51,6574.39,2026-10-25
93,Resource wish,1899.9,1897.49,2026-06-08
94,Outside result,8344.68,6750.75,2026-11-08
95,Quality drug none,9787.29,7190.99,2027-03-02
96,Address own,1723.65,575.15,2026-05-29
97,Card,9307.29,7570.24,2026-05-05
98,Hand sign key,6178.16,5563.02,2026-10-20
99,Create special,6429.04,3128.55,2026-05-12
100,Every sit,5012.54,765.86,2026-09-12
101,Huge open physical,4675.23,3616.55,2026-08-09
102,Remain east,9557.43,310.67,2027-01-27
103,Quality certainly,6234.08,2711.71,2026-07-12
104,Sport sometimes,3341.95,1788.44,2026-08-25
105,Want as,8085.69,3559.67,2027-02-22
106,Up film ball happy,1420.43,975.53,2027-01-27
107,To and,1019.37,648.18,2026-11-30
108,Share summer peace,3458.67,2974.2,2027-01-17
109,Education significant account open,7035.58,1366.8,2026-08-04
110,Not fall prepare,2934.98,740.08,2027-01-23
111,Series morning,9470.8,7259.26,2027-02-25
112,Feeling meet health claim,4619.17,2714.97,2027-03-18
113,Take set,8735.25,8450.49,2026-05-14
114,Likely total,4212.64,4168.67,2026-05-18
115,Television hand describe,1316.32,1181.28,2026-05-30
116,That two,3506.09,1853.56,2027-01-11
117,Economic establish,9169.44,125.84,2026-06-02
118,Discussion purpose,3395.95,1676.88,2027-01-21
119,Democratic somebody some thank,2518.65,1650.54,2027-03-05
120,Between own field,6300.93,2843.85,2026-04-08
121,Lot itself,6886.79,1149.93,2027-03-13
122,Really deep determine,9315.56,5795.62,2026-07-25
123,Fire commercial,2508.78,171.14,2026-09-20
124,Third understand night,4327.44,3296.56,2026-06-18
125,Customer more,9171.16,8994.9,2026-05-12
126,Already news five,8763.72,6502.28,2026-09-07
127,Force near movie,6662.64,4378.15,2027-02-06
128,Every outside to,5040.24,2218.78,2026-07-07
129,And picture care,7055.15,5595.0,2026-11-16
130,Her a born,4669.39,2163.05,2027-02-02
131,Continue order,8995.73,785.91,2027-03-10
132,Trial black last,9331.94,6953.43,2026-06-15
133,Peace tonight never,5518.65,5350.77,2027-01-14
134,Purpose later,3444.1,123.18,2026-04-18
135,Kitchen turn,4040.85,2066.48,2026-12-14
